FAQ questions,FAQ answers,modifiert question,type change
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.","'Ich habe bereits eine App installiert, aber ich habe gehört, dass Sto-Card und Google Pay auch funktionieren. Kann ich sie nutzen, um meine Karten zu speichern?'",scenario
Kann ich auch andere Karten-Apps nutzen wie Sto-Card oder Google Pay?,"Es gibt fremde App-Anbieter, die eine Karten-Upload-Funktion in Deinen Apps anbieten. Diese Karten-Apps sind zwar praktisch, dürfen bei METRO jedoch nicht akzeptiert werden, da in diesen Apps keine Fotoprüfung stattfinden kann. Als Großhändler sind wir verpflichtet, die Identität unserer Kunden mit Lichtbild zu überprüfen. Daher sind nur die METRO App (METRO Companion) sowie die Plastikkarte beim Bezahlvorgang erlaubt.",'Ich bin auf der Suche nach einer Alternative zu meiner aktuellen Karten-App und habe mich für Sto-Card und Google Pay interessiert. Funktionieren diese auch mit meinem Bankkonto?',scenario
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.","'Kann ich ein Geschenk für meine Freundin, das ich online bestellt habe, direkt zu ihr nach Hause liefern lassen?'",scenario
Kann ich eine einmalige Bestellung liefern lassen?,"Unser Lieferservice ist nicht für Einzelbestellungen gedacht.  Falls Du noch kein Lieferkunde bist, kannst Du Dich hier registrieren.","'Kann ich eine einmalige Bestellung für ein Produkt liefern lassen, das ich nicht in meinem Stadtteil finden kann?'",scenario
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Ich habe meine Zugangsdaten vergessen und kann mich nicht anmelden. Was tue ich, wenn bei der Anmeldung Schwierigkeiten auftreten?",scenario
"Was tue ich, wenn bei der Anmeldung (Login) Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Eingaben. Bei Problemen bei der Anmeldung kannst Du gegebenenfalls selbst Dein Passwort zurücksetzen oder Dir Deinen Benutzernamen erneut zusenden lassen.  Sollte die Anmeldung dennoch nicht gelingen, wende Dich über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Ich versuche, mich auf einem neuen Gerät anzumelden, aber mein Account wird nicht anerkannt. Was tue ich, wenn bei der Anmeldung Schwierigkeiten auftreten?",scenario
Wer darf die App installieren?,"Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Karte sind jedoch für unsere Kunden vorbehalten und erst nutzbar, wenn sie sich mit ihrem myMETRO-Daten eingeloggt haben. Dazu benötigen sie einen Account, den sie sich auch direkt in der App einrichten können.","""Wer darf die Firma-App installieren, damit ich meine Aufgaben auf meinem neuen Smartphone erledigen kann?""",scenario
Wer darf die App installieren?,"Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Karte sind jedoch für unsere Kunden vorbehalten und erst nutzbar, wenn sie sich mit ihrem myMETRO-Daten eingeloggt haben. Dazu benötigen sie einen Account, den sie sich auch direkt in der App einrichten können.","""Wer darf die Streaming-App installieren, wenn ich mit meiner Familie ein Familienkonto habe und wir gemeinsam Filme schauen wollen?""",scenario
Welche Möglichkeiten habe ich andere für mich einkaufen zu lassen?,Du hast verschiedene Möglichkeiten Einkaufsvollmachten für Mitarbeiter oder andere Personen auszustellen:    Einmalige Papiervollmacht   Temporäre digitale Vollmacht  Dauerhafte digitale Vollmacht  Dauerhafte Einkaufsberechtigung    Ausführliche Informationen findest Du hier.,"Ich bin krank, was sind meine Optionen, um jemand anderen zum Einkaufen zu schicken?",scenario
Welche Möglichkeiten habe ich andere für mich einkaufen zu lassen?,Du hast verschiedene Möglichkeiten Einkaufsvollmachten für Mitarbeiter oder andere Personen auszustellen:    Einmalige Papiervollmacht   Temporäre digitale Vollmacht  Dauerhafte digitale Vollmacht  Dauerhafte Einkaufsberechtigung    Ausführliche Informationen findest Du hier.,"Ich habe einen Urlaub, aber ich brauche noch einige Dinge, wie kann ich sie jemand anderem überlassen, um sie für mich zu kaufen?",scenario
Welcher Unterschied besteht zwischen digitaler Karte und Plastikkarte?,Im Prinzip keiner. Die digitale Karte ist eine Kopie der Plastikkarte mit denselben Funktionen.,"""Ich möchte ein neues Zahlungsmittel kaufen und bin unsicher, ob ich eine digitale Karte oder eine Plastikkarte benötige. Welcher Unterschied besteht zwischen beiden?""",scenario
Welcher Unterschied besteht zwischen digitaler Karte und Plastikkarte?,Im Prinzip keiner. Die digitale Karte ist eine Kopie der Plastikkarte mit denselben Funktionen.,"""Ich habe eine digitale Karte und eine Plastikkarte. Wie kann ich sie am besten nutzen, um meine Ausgaben zu verfolgen?""",scenario
"Was passiert, wenn ich mein METRO-Umsatzziel für die Pentagast Subvention erreiche?","Super! Wenn Du Dein vereinbartes Umsatzziel vollständig erreichst, ist die Subvention „verdient“ – Du musst nichts zurückzahlen.",'Ich habe gerade mein METRO-Umsatzziel für die Pentagast Subvention erreicht. Was passiert jetzt mit meiner Mitarbeitermotivation?',scenario
"Was passiert, wenn ich mein METRO-Umsatzziel für die Pentagast Subvention erreiche?","Super! Wenn Du Dein vereinbartes Umsatzziel vollständig erreichst, ist die Subvention „verdient“ – Du musst nichts zurückzahlen.","'Ich bin sicher, dass ich mein METRO-Umsatzziel für die Pentagast Subvention erreichen werde. Was bedeutet das für unsere nächste Mitarbeiterbesprechung?'",scenario
"Ich möchte wöchentlich über Angebote informiert werden, kann aber kein METRO Chat empfangen. Gibt es andere Kanäle?","Du kannst alternativ unseren Newsletter abonnieren oder unsere METRO App installieren. Dort wirst Du wöchentlich über neue Angebote, Aktionen und Events informiert. ","'Ich habe Metro Chat abbestellt, weil ich zu viele Nachrichten empfange, gibt es andere Möglichkeiten, über Angebote informiert zu werden?'",scenario
"Ich möchte wöchentlich über Angebote informiert werden, kann aber kein METRO Chat empfangen. Gibt es andere Kanäle?","Du kannst alternativ unseren Newsletter abonnieren oder unsere METRO App installieren. Dort wirst Du wöchentlich über neue Angebote, Aktionen und Events informiert. ","'Ich möchte wissen, ob es alternative Möglichkeiten gibt, um über neue Angebote informiert zu werden, wenn ich keinen Metro Chat empfangen kann.'",scenario
Wer ist mein Ansprechpartner bei Fragen zum Thema Pentagast?,Bei Fragen hilft Dir Dein Kundenmanager vor Ort gerne weiter. Du kannst Dich auch jederzeit über unser Kontaktformular melden – wir sind für Dich da!,"Ich brauche Hilfe bei der Einrichtung meiner Pentagast-Anlage, wer kann ich fragen?",scenario
Wer ist mein Ansprechpartner bei Fragen zum Thema Pentagast?,Bei Fragen hilft Dir Dein Kundenmanager vor Ort gerne weiter. Du kannst Dich auch jederzeit über unser Kontaktformular melden – wir sind für Dich da!,"Wir haben bei der Wartung unserer Pentagast-Heizung ein Problem, wer ist mein Ansprechpartner?",scenario
Wie muss ich meine Kartennummer für die METRO Chat Anmeldung angeben?,Schicke uns einfach ein Foto Deiner Kundenkarte oder einen Screenshot Deiner digitalen Kundenkarte.,"Ich habe meine Kartennummer für die METRO Chat Anmeldung vergessen und weiß nicht, wie ich sie wieder finden kann.",scenario
Wie muss ich meine Kartennummer für die METRO Chat Anmeldung angeben?,Schicke uns einfach ein Foto Deiner Kundenkarte oder einen Screenshot Deiner digitalen Kundenkarte.,"Wie kann ich meine Kartennummer für die METRO Chat Anmeldung angeben, wenn ich sie nicht im Pass oder auf dem Kartenumschlag habe?",scenario
Welche Vorteile bringt mir der METRO Chat?,"Durch das Anmelden bei METRO Chat, kannst Du Dich auf die neuen Wochenangebote, spannende Events, tolle Aktionen, sowie Gewinnspiele freuen.","Ich stehe am Bahnhof und warte auf den Zug, aber ich habe keine Zeit, um die Anzeigetafeln zu lesen, welche Vorteile bringt mir der METRO Chat?",scenario
Welche Vorteile bringt mir der METRO Chat?,"Durch das Anmelden bei METRO Chat, kannst Du Dich auf die neuen Wochenangebote, spannende Events, tolle Aktionen, sowie Gewinnspiele freuen.","Ich bin ein Reisender, der oft in der METRO unterwegs ist und ich habe gehört, dass es einen Chat gibt, welche Vorteile bringt mir der METRO Chat?",scenario
Welche Services gibt es für Gastronomen?,"Für die Gastronomie und die Unternehmen aus der Dienstleistungsbranche dreht sich die Welt immer schneller: Gäste und Kunden werden anspruchsvoller, erwarten immer mehr Qualität und Flexibilität. Mit unserem durchdachten Sortiment, aber auch mit einer Vielzahl an Services wollen wir Dich und Dein Unternehmen unterstützen.    Wochenangebote und Monatsmenü für Gastronomen   Gastro-Tage mit exklusiven Angeboten  Pentagast: Beim gemeinsamen Angebot von METRO Deutschland und PENTAGAST ist der Name Programm: SMART & EASY – hochwertige Küchentechnik, unkompliziert und passgenau für die Gastronomie. Du profitierst als Gastronom von hochwertigen Profi-Küchengeräten zu Top-Konditionen – inklusive Beratung, Lieferung und Service aus einer Hand.  Trotec Luftreiniger: Optimiere jetzt Dein Hygienekonzept! Die hygienische und wirtschaftlich attraktive Lösung für Gastronomen: Als exklusiver Vertriebspartner für die Gastronomie bieten wir in Kooperation mit PENTAGAST und TROTEC mit der professionellen Hochfrequenz-Luftreinigung mehr Schutz für Deinen Gastraum und unterstützen Dich mit allen Kräften, Dein Geschäft erfolgreich anzukurbeln.  Menükarten-Vorlagen: Die Gastronomie lebt von Vielfalt und die findet sich auch in der Speisekarte wieder. Daher bieten wirdie Möglichkeit Menükarten-Vorlagen für verschiedene Restaurant-Typen, diverse Themen und Anlässe herunterzuladen.  Gastro-Coaching by DISH: Unsere erfahrenen Gastro-Berater unterstützen dich bei allen Fragen - von der Existenzgründung, über die Optimierung des laufenden Geschäfts und vieles mehr!  Gastro-Impulse Webinare: Die Gastronomie ist die schönste und vielfältigste Branche, zum einen, weil wir durch fachliche und soziale Kompetenz und herausragender Qualität begeistern können und zum anderen, weil wir den Mensch in den Mittelpunkt unseres Handelns stellen.","'Ich bin der Chef eines neuen Restaurants und möchte wissen, welche Services ich für meine Kunden anbieten kann.'",scenario
Welche Services gibt es für Gastronomen?,"Für die Gastronomie und die Unternehmen aus der Dienstleistungsbranche dreht sich die Welt immer schneller: Gäste und Kunden werden anspruchsvoller, erwarten immer mehr Qualität und Flexibilität. Mit unserem durchdachten Sortiment, aber auch mit einer Vielzahl an Services wollen wir Dich und Dein Unternehmen unterstützen.    Wochenangebote und Monatsmenü für Gastronomen   Gastro-Tage mit exklusiven Angeboten  Pentagast: Beim gemeinsamen Angebot von METRO Deutschland und PENTAGAST ist der Name Programm: SMART & EASY – hochwertige Küchentechnik, unkompliziert und passgenau für die Gastronomie. Du profitierst als Gastronom von hochwertigen Profi-Küchengeräten zu Top-Konditionen – inklusive Beratung, Lieferung und Service aus einer Hand.  Trotec Luftreiniger: Optimiere jetzt Dein Hygienekonzept! Die hygienische und wirtschaftlich attraktive Lösung für Gastronomen: Als exklusiver Vertriebspartner für die Gastronomie bieten wir in Kooperation mit PENTAGAST und TROTEC mit der professionellen Hochfrequenz-Luftreinigung mehr Schutz für Deinen Gastraum und unterstützen Dich mit allen Kräften, Dein Geschäft erfolgreich anzukurbeln.  Menükarten-Vorlagen: Die Gastronomie lebt von Vielfalt und die findet sich auch in der Speisekarte wieder. Daher bieten wirdie Möglichkeit Menükarten-Vorlagen für verschiedene Restaurant-Typen, diverse Themen und Anlässe herunterzuladen.  Gastro-Coaching by DISH: Unsere erfahrenen Gastro-Berater unterstützen dich bei allen Fragen - von der Existenzgründung, über die Optimierung des laufenden Geschäfts und vieles mehr!  Gastro-Impulse Webinare: Die Gastronomie ist die schönste und vielfältigste Branche, zum einen, weil wir durch fachliche und soziale Kompetenz und herausragender Qualität begeistern können und zum anderen, weil wir den Mensch in den Mittelpunkt unseres Handelns stellen.","'Mein Freund ist Gastronom und ich habe gehört, dass es einige spezielle Services für Restaurants gibt. Was sind das genau?'",scenario
Wie kann ich den Newsletter abbestellen?,"Möglichkeit 1  Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Newsletter & Marketingerlaubnis. Dort kannst Du den Newsletter abbestellen, indem Du den Haken bei E-Mail herausnimmst. Danach klicke auf Änderung speichern.      Möglichkeit 2  Nutze im Newsletter den Link ""Newsletter Abbestellen"", den Du im unteren Drittel jedes Newsletters findest.     Möglichkeit 3  Melde Dich bei uns: www.metro.de/kontakt","Ich habe mich versehentlich für den Newsletter eines Online-Shops angemeldet und möchte ihn jetzt abbestellen, wie kann ich das tun?",scenario
Wie kann ich den Newsletter abbestellen?,"Möglichkeit 1  Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Newsletter & Marketingerlaubnis. Dort kannst Du den Newsletter abbestellen, indem Du den Haken bei E-Mail herausnimmst. Danach klicke auf Änderung speichern.      Möglichkeit 2  Nutze im Newsletter den Link ""Newsletter Abbestellen"", den Du im unteren Drittel jedes Newsletters findest.     Möglichkeit 3  Melde Dich bei uns: www.metro.de/kontakt","Wie kann ich den Newsletter meines Lieblingsmagazins abbestellen, da ich nicht mehr Zeit habe, ihn zu lesen?",scenario
Gibt es eine ausführliche FAQ Seite nur für DISH Produkte?,"Ja, die gibt es. Klicke auf folgenden Link und du kommst auf die DISH FAQ Seite: https://support.dish.co/de_DE","Ich bin ein neuer Kunde von DISH und benötige Unterstützung bei der Bedienung meines Satellitenempfängers. Gibt es eine ausführliche FAQ-Seite nur für DISH-Produkte, die mir helfen kann, die grundlegenden Funktionen zu verstehen?",scenario
Gibt es eine ausführliche FAQ Seite nur für DISH Produkte?,"Ja, die gibt es. Klicke auf folgenden Link und du kommst auf die DISH FAQ Seite: https://support.dish.co/de_DE","Ich habe gerade mein neues DISH-Abonnement abgeschlossen und möchte mich über die verschiedenen Funktionen informieren. Gibt es eine ausführliche FAQ-Seite, die speziell für DISH-Produkte konzipiert ist und mir hilft, die verschiedenen Optionen zu verstehen?",scenario
Wie kann ich mich wieder vom METRO Chat abmelden?,"Du kannst Dich jederzeit abmelden, indem Du „STOP“ sendest.  ","Ich habe mein Handy versehentlich im METRO-Chat eingeloggt und möchte mich jetzt wieder abmelden, bevor ich meine Kreditkarteninformationen versehentlich abrufen kann.",scenario
Wie kann ich mich wieder vom METRO Chat abmelden?,"Du kannst Dich jederzeit abmelden, indem Du „STOP“ sendest.  ","Ich bin im METRO-Chat angemeldet, aber ich möchte mich jetzt auf mein Einkaufen konzentrieren und will nicht ständig von Nachrichten des Chats abgelenkt werden.",scenario
Welche Prospekte kann ich mir in der App ansehen?,"Alle Prospekte, die für den Markt gültig sind, den Du ausgewählt hast. Du kannst den Markt auch ganz einfach wechseln, falls Du mal woanders einkaufen möchtest. Sichtbar sind die aktuellen Prospekte der aktuellen Woche sowie im Reiter „Demnächst“ die zukünftigen Prospekte.     Warum muss ich einen Markt auswählen? Nicht jedes Prospekt und dessen Angebote sind deutschlandweit gültig. Daher ist eine Marktauswahl erforderlich, sodass Du die Prospekte siehst, die für Deinen Markt gültig sind. Falls Du mal woanders einkaufen möchtest, kannst Du jederzeit den Markt wieder wechseln. Dies hat keine Auswirkungen auf die Kunden- oder Kartendaten, da es sich nur auf die Anzeige der Prospekte und die Verfügbarkeit der Artikel in der App auswirkt.","'Welche Immobilien-Prospekte kann ich mir in der App ansehen, wenn ich nach einem Haus in der Nähe meiner Arbeit suche?'",scenario
Welche Prospekte kann ich mir in der App ansehen?,"Alle Prospekte, die für den Markt gültig sind, den Du ausgewählt hast. Du kannst den Markt auch ganz einfach wechseln, falls Du mal woanders einkaufen möchtest. Sichtbar sind die aktuellen Prospekte der aktuellen Woche sowie im Reiter „Demnächst“ die zukünftigen Prospekte.     Warum muss ich einen Markt auswählen? Nicht jedes Prospekt und dessen Angebote sind deutschlandweit gültig. Daher ist eine Marktauswahl erforderlich, sodass Du die Prospekte siehst, die für Deinen Markt gültig sind. Falls Du mal woanders einkaufen möchtest, kannst Du jederzeit den Markt wieder wechseln. Dies hat keine Auswirkungen auf die Kunden- oder Kartendaten, da es sich nur auf die Anzeige der Prospekte und die Verfügbarkeit der Artikel in der App auswirkt.",'Kann ich in der App auch Prospekte für mein Auto ansehen oder gibt es nur Immobilien?',scenario
Wie kann ich meine Bestellung verfolgen?,Du kannst Deine Bestellung ganz einfach im M.Shop unter „Meine Bestellungen“ verfolgen.  Alternativ geht das auch über die METRO App – hier herunterladen.,"Ich habe meine Bestellung online auf der Website von Amazon platziert und möchte wissen, ob sie bereits auf dem Weg zu mir ist.",scenario
Wie kann ich meine Bestellung verfolgen?,Du kannst Deine Bestellung ganz einfach im M.Shop unter „Meine Bestellungen“ verfolgen.  Alternativ geht das auch über die METRO App – hier herunterladen.,"Ich habe bei einem Online-Händler namens ""Edeka"" bestellt, aber die Website sagt mir, dass sie noch nicht ausgeliefert wurde - wie kann ich sie verfolgen?",scenario
Wie kann ich meine Mobilfunknummer ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf ""Dein Profil"".  Dort kannst Du Deine Mobilfunknummer ändern. Danach klicke auf das Feld Änderungen speichern.",'Wie kann ich meine Mobilfunknummer in meinem neuen Handy ändern?',scenario
Wie kann ich meine Mobilfunknummer ändern?,"Nachdem Du Dich angemeldet hast, klicke oben rechts auf Deinen Namen und dann auf ""Dein Profil"".  Dort kannst Du Deine Mobilfunknummer ändern. Danach klicke auf das Feld Änderungen speichern.","'Wie kann ich meine Mobilfunknummer ändern, wenn ich mich in ein anderes Land bewege?'",scenario
Welche Betriebssysteme werden unterstützt?,"Die App wird für iPhones und Android-Systeme entwickelt. Einwandfrei funktioniert die App ab Android 6 und ab iOS 10 für Smartphones mit einer Bildschirmgröße von 4‘‘ bis 5,8‘‘. Die App wird nicht für Tablet-Geräte optimiert.","'Welche Betriebssysteme werden von meinem neuen Laptop unterstützt, bevor ich ihn kaufen gehe?'",scenario
Welche Betriebssysteme werden unterstützt?,"Die App wird für iPhones und Android-Systeme entwickelt. Einwandfrei funktioniert die App ab Android 6 und ab iOS 10 für Smartphones mit einer Bildschirmgröße von 4‘‘ bis 5,8‘‘. Die App wird nicht für Tablet-Geräte optimiert.","'Welche Betriebssysteme werden von der neuen Software unterstützt, die ich für meine Arbeit benötige?'",scenario
Wie kann mein Team auch mit einer METRO Karte einkaufen?,"Du kannst Mitarbeitende über Dein digitales Profil hinzufügen und ihnen Berechtigungen erteilen.   Falls Du noch kein Profil hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Teammitglieder und Berechtigungen hier verwalten.","Wie kann mein Team auch mit einer METRO Karte in der METRO Filiale in der Stadt einkaufen, wenn wir dort nur ein paar Schritte entfernt sind?",scenario
Wie kann mein Team auch mit einer METRO Karte einkaufen?,"Du kannst Mitarbeitende über Dein digitales Profil hinzufügen und ihnen Berechtigungen erteilen.   Falls Du noch kein Profil hast, registriere Dich hier und füge Deine METRO Karte hinzu.     Wenn Du bereits ein Profil hast, kannst Du Teammitglieder und Berechtigungen hier verwalten.","Wie kann mein Team mit einer METRO Karte in einem anderen Stadtteil einkaufen, wo ich nicht so oft bin?",scenario
"Was tue ich, wenn bei der Registrierung Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Angaben. Achte dabei auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben!  Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#ACHTUNG: Die E-Mail-Adresse darf nur einmal verwendet werden!  Haben mehrere Einkaufsberechtigte die gleiche E-Mail-Adresse, dann muss der zweite, der sich registriert, eine andere E-Mail-Adresse eingeben! Gleiches gilt auch für den Benutzernamen, mit dem Du Dich registrierst!  Sollte die Registrierung dennoch nicht gelingen, wende Dich bitte über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Was mache ich, wenn ich beim Versuch, mich bei einer neuen Online-Plattform zu registrieren, eine Fehlermeldung sehe?",scenario
"Was tue ich, wenn bei der Registrierung Schwierigkeiten auftreten?","Bitte überprüfe nochmals Deine Angaben. Achte dabei auf die korrekte Schreibweise, merke Dir die Groß- und Kleinbuchstaben!  Folgende Zeichen sind beim Passwort erlaubt: A-Z, a-z, 0-9 und @!?_#ACHTUNG: Die E-Mail-Adresse darf nur einmal verwendet werden!  Haben mehrere Einkaufsberechtigte die gleiche E-Mail-Adresse, dann muss der zweite, der sich registriert, eine andere E-Mail-Adresse eingeben! Gleiches gilt auch für den Benutzernamen, mit dem Du Dich registrierst!  Sollte die Registrierung dennoch nicht gelingen, wende Dich bitte über das Kontaktformular, per Mail oder telefonisch an unseren Kundensupport.","Wie reagiere ich, wenn ich beim Einloggen in meine Bank-App Probleme mit der Identifizierung habe?",scenario
Wie kann ich meine Adresse ändern?,"Die Sicherheit Ihrer Kundendaten liegt uns sehr am Herzen! Daher möchten wir Dich bitten, die Änderung Deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei Deinem nächsten Einkauf im Stammhaus (oder gerne auch in jedem anderen METRO oder METRO GASTRO Markt) legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten.  Bitte bring, sofern Du eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument hast, dieses bitte als Nachweis mit. Anschließend benötigen wir nur noch eine Unterschrift und Deine Änderung ist aktiv.     Wünschst Du eine schnelle Änderung Deiner Kundendaten, kann uns der Zeichnungsberechtigte alternativ ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de schicken. Bitte sende uns auch hier, sofern Du eine Gewerbe-Ummeldung hast, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument, dieses bitte als Nachweis mit. Bitte vergiss dabei nicht, Deine Kundennummer und den Änderungswunsch mitzuteilen.",Ich habe mich gerade neu in der Stadt eingerichtet und meine Adresse ist noch nicht in meinem Führerschein oder bei der Krankenkasse korrekt. Wie kann ich meine Adresse ändern?,scenario
Wie kann ich meine Adresse ändern?,"Die Sicherheit Ihrer Kundendaten liegt uns sehr am Herzen! Daher möchten wir Dich bitten, die Änderung Deiner Kundendaten auf einem dieser Wege durchzuführen:     Bei Deinem nächsten Einkauf im Stammhaus (oder gerne auch in jedem anderen METRO oder METRO GASTRO Markt) legt der Zeichnungsberechtigte die Kundenkarte am Eingang vor und nennt seine neuen Kundendaten.  Bitte bring, sofern Du eine Gewerbe-Ummeldung, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument hast, dieses bitte als Nachweis mit. Anschließend benötigen wir nur noch eine Unterschrift und Deine Änderung ist aktiv.     Wünschst Du eine schnelle Änderung Deiner Kundendaten, kann uns der Zeichnungsberechtigte alternativ ein eingescanntes und unterschriebenes Dokument an kontakt@metro.de schicken. Bitte sende uns auch hier, sofern Du eine Gewerbe-Ummeldung hast, einen aktualisierten Handelsregisterauszug oder ein sonstiges offizielles Dokument, dieses bitte als Nachweis mit. Bitte vergiss dabei nicht, Deine Kundennummer und den Änderungswunsch mitzuteilen.","Ich möchte mein Online-Konto bei einer Bank ändern, da ich mich in ein neues Haus umziehe und meine Adresse geändert werden muss. Wie kann ich meine Adresse ändern?",scenario
Das Produkt ist beschädigt oder von schlechter Qualität – was kann ich tun?,"Das tut uns leid!   Hast du das Produkt in unserem Onlineshop erworben, melde deine Reklamation bitte unter 0211 91194200 oder [hier]. Wenn du das Produkt in einem unserer Großmärkte erworben hast, rufe uns bitte unter 0211/17607090 an oder sende uns [hier] eine Nachricht mit genauer Problembeschreibung, deiner Rechnung und ggf. Fotos.   Gerne kannst du auch mit dem Produkt (außer Elektro-Großgeräte) direkt in den Großmarkt an den Kundeneingang kommen.",'Ich habe ein kaputtes Smartphone gekauft – was kann ich tun?',scenario
Das Produkt ist beschädigt oder von schlechter Qualität – was kann ich tun?,"Das tut uns leid!   Hast du das Produkt in unserem Onlineshop erworben, melde deine Reklamation bitte unter 0211 91194200 oder [hier]. Wenn du das Produkt in einem unserer Großmärkte erworben hast, rufe uns bitte unter 0211/17607090 an oder sende uns [hier] eine Nachricht mit genauer Problembeschreibung, deiner Rechnung und ggf. Fotos.   Gerne kannst du auch mit dem Produkt (außer Elektro-Großgeräte) direkt in den Großmarkt an den Kundeneingang kommen.","Ich habe gerade mein neues Smartphone gekauft und merke, dass das Display bereits Risse hat.",scenario
Welche Zahlungsarten werden in METRO Großmärkten akzeptiert?,Detaillierte Informationen zu allen Zahlungsarten findest Du hier: https://www.metro.de/bezahlmoeglichkeiten,"'Welche Zahlungsarten werden in METRO Großmärkten akzeptiert, wenn ich am Wochenende einkaufen gehe?'",scenario
Welche Zahlungsarten werden in METRO Großmärkten akzeptiert?,Detaillierte Informationen zu allen Zahlungsarten findest Du hier: https://www.metro.de/bezahlmoeglichkeiten,"'Welche Zahlungsarten werden in METRO Großmärkten akzeptiert, wenn ich mit meiner Familie einkaufen gehe?'",scenario
Wie sind die Öffnungszeiten?,Die Öffnungszeiten unserer METRO Märkte findest Du hier.,"Ich frage mich, wie spät die Bibliothek am Freitagabend öffnet, da ich noch ein paar Bücher ausleihen möchte.",scenario
Wie sind die Öffnungszeiten?,Die Öffnungszeiten unserer METRO Märkte findest Du hier.,"Ich bin auf der Suche nach einem Friseur in der Nähe und möchte wissen, ob er noch geöffnet ist, bevor ich mich auf den Weg mache.",scenario
Ich habe ein falsches Produkt erhalten – was jetzt?,"Wenn Du ein online bestelltes Produkt zurückgeben und eine Erstattung erhalten möchtest, findest Du alle Infos in unserer Rückgaberichtlinie.  Falls Du Lieferservicekunde bist, kannst du ein beanstandetes Produkt direkt bei Anlieferung dem Fahrer zurückgeben.","'Ich habe ein falsches Produkt erhalten, weil ich online bestellt habe – was jetzt?'",scenario
Ich habe ein falsches Produkt erhalten – was jetzt?,"Wenn Du ein online bestelltes Produkt zurückgeben und eine Erstattung erhalten möchtest, findest Du alle Infos in unserer Rückgaberichtlinie.  Falls Du Lieferservicekunde bist, kannst du ein beanstandetes Produkt direkt bei Anlieferung dem Fahrer zurückgeben.","(Szenario: Ich habe online bei Amazon ein Produkt bestellt, aber als ich es erhalten habe, stellte ich fest, dass es nicht das ist, was ich bestellt hatte.)",scenario
